smiles_1,associating,m,sigma,epsilon_k,mu,epsilonAB,KAB,total_residual,mean_residual,max_residual,m_error,sigma_error,epsilon_k_error,mu_error,epsilonAB_error,KAB_error,#DDB
CC(=O)c1cccc2ccccc12,False,4.676281299021535,3.6057939361973883,321.9397773243951,0.7398208379745483,0.0,0.0,0.06983875459294317,0.006983875459294317,0.5,1.7348034089340383,0.4742580407984796,59.16848029428376,0,0.0,0,6218
CON=C(C)C,False,5.026793764423555,2.9441586290898636,189.48721089673347,0.8057315945625305,0.0,0.0,0.14371914360405513,0.004106261245830147,0.5,0.04799007555096366,0.010330389016954369,0.8992831210274582,0,0.0,0,6266
C=C1CCCC1,False,1.6947900509734144,4.381627450613474,347.4799454201176,0.37689003348350525,0.0,0.0,0.02299935626236984,0.0025554840291522043,0.5,0.06752890090320486,0.06257068833872793,8.31470558879236,0,0.0,0,7084
CC1CCCC(O)C1,True,1.4537360483105441,4.999992331798167,486.83565060240244,1.0389248132705688,37.165348164468256,0.01,0.22756871035087675,0.015171247356725117,0.5,0.619165215351912,0.8437372785919732,143.9147377627506,0,29910.56452908665,0,2867
CCCCCC(=O)CC,False,1.7811228552196556,4.999999998858756,415.85672292427563,0.9175159335136414,0.0,0.0,0.3127968478064081,0.018399814576847535,0.5,2.046728420213707,1.7136892821713667,283.033196288739,0,0.0,0,3111
CCCC(=O)c1ccccc1,False,1.7678908825825128,4.999999998717035,479.9737032664004,1.7883175611495972,0.0,0.0,0.48027929714517453,0.028251723361480855,0.5,2.379862209037394,2.7252846401182884,383.9454039113533,0,0.0,0,2133
CS(C)=O,False,2.854058647349925,3.2931955882740653,360.39154020784,0.9629002809524536,0.0,0.0,12.862990562215698,0.01925597389553248,0.5,0.039953021822847906,0.0162726399366146,2.9480562306258973,0,0.0,0,151
CC1CCCCC1,False,2.6643315242424306,3.993978160173037,282.03909766533866,0.14498305320739746,0.0,0.0,4.506271050760708,0.004617080994631873,0.5,0.007588956246455921,0.004020608120504825,0.467027798673892,0,0.0,0,53
CCCCCCCCCCO,True,3.1734796444743534,4.4450585194799395,306.35512022810246,1.3137755393981934,2809.9980722450287,0.01,7.314396518690236,0.015900861997152686,0.5,0.32623815618437274,0.1596797748130882,10.15114444529274,0,106.89287198364572,0,345
CC(C)Oc1ccccc1,False,4.026030674274556,3.6656014754618154,271.4771775371114,1.591807246208191,0.0,0.0,0.4453785695715279,0.006748160145023149,0.5,0.03932227615868902,0.012714967398212368,1.4285300679490478,0,0.0,0,7208
OCCCl,True,1.9975410046834678,3.6456178213355157,365.4857772762493,0.5208215117454529,1565.336512071959,0.01,3.766258144653093,0.043290323501759695,0.5,3.5989088427572367,2.3887131647303708,310.9215896022577,0,1482.9572330215312,0,43
C#CCCCCCCCCC,False,3.9767213760950377,4.087662353535714,277.773232783263,2.0503783226013184,0.0,0.0,0.3342596729445065,0.023875690924607607,0.5,0.41620274709383875,0.1524803055171435,15.04997804221451,0,0.0,0,7117
C#CCCCCCCCCCC,False,5.268487311203971,3.808933276243174,250.94342246961958,1.7271209955215454,0.0,0.0,0.008578981292336783,0.0007149151076947319,0.5,0.016202010727971165,0.0041941875567474245,0.3696101637228825,0,0.0,0,7118
C#CCCCCCCCCCCC,False,5.580174985943917,3.8378247419369504,253.0105424532288,1.6698004007339478,0.0,0.0,0.00396045097445595,0.000396045097445595,0.5,0.015278862087260316,0.0037750978651283013,0.32765968551061214,0,0.0,0,7119
CC1=CCCCC1,False,2.8860561992723013,3.79997610589026,279.2873486707848,0.17227961122989655,0.0,0.0,4.233359289330959,0.025971529382398523,0.5,0.08391992878051843,0.03905945433862709,4.669057691952406,0,0.0,0,847
C=CCCCCCC,False,3.573155098304907,3.867222448197345,249.5856826590447,0.9791610836982727,0.0,0.0,3.5023895090743444,0.01621476624571456,0.5,0.046985643910176976,0.01828641176205128,1.768429716203257,0,0.0,0,129
C=CCCCCCCCCCC,False,5.181284372680009,3.876449392860086,250.69581786230535,1.6129568815231323,0.0,0.0,0.8198974053290253,0.010931965404387005,0.5,0.043066664918887484,0.011648434527247268,1.0333377958242664,0,0.0,0,751
CC1=CCC2CC1C2(C)C,False,3.2158718490942912,4.067897675164842,288.1840965532124,0.5202904343605042,0.0,0.0,1.9332986444012445,0.008868342405510297,0.5,0.03208573653066037,0.014307231904728147,1.6155535455537435,0,0.0,0,20
