smiles,compoundName,sigma_moment_1,sigma_moment_2,sigma_moment_3,sigma_moment_4,sigma_moment_5
Cn1cccc1,1-methyl-1h-pyrrole,0.0,37.2,6.593422,20.8,7.694987
c1ccc(B(c2ccccc2)c2ccccc2)cc1,triphenylborane,0.0,47.8,-4.724254,13.7,-3.156757
CC[Al](CC)CC,triethylaluminum,0.0,26.3,-12.1,20.5,-22.9
CCB(CC)CC,triethylborane,0.0,10.9,0.099724,1.185729,0.018587
O=Cc1cccs1,2-thiophenecarboxaldehyde,0.0,51.7,18.8,59.6,49.0
CC(C)(C)c1ccccc1,"(1,1-dimethylethyl)benzene",0.0,26.6,0.479902,7.359367,0.29933
FC(F)(F)c1ccccc1,trifluoromethylbenzene,0.0,24.9,-7.918921,8.977825,-5.556493
Cl[Si](Cl)(Cl)c1ccccc1,phenyltrichlorosilane,0.0,24.6,-7.765049,7.878444,-4.7866
Cc1cc(C)cc(C(C)(C)C)c1,"1-(1,1-dimethylethyl)-3,5-dimethylbenzene",0.0,27.5,2.514747,7.574804,2.012638
O=[N+]([O-])c1cccc(C(F)(F)F)c1,1-nitro-3-(trifluoromethyl)-benzene,0.0,50.2,-0.859405,34.6,1.805748
Cc1ccc(C(C)(C)C)cc1,p-(t-butyl)toluene,0.0,26.9,1.62702,7.375995,1.222893
CC(C)(C)C1CCC(=O)CC1,irisone,0.0,51.3,41.1,70.1,95.9
CC(C)(C)c1ccc(O)cc1,"4-(1,1-dimethylethyl)-phenol",0.0,58.4,-18.8,78.4,-73.8
CC(C)c1ccccc1,isopropylbenzene,0.0,25.6,0.395737,7.18315,0.235088
